x coord,y coord,z coord,rho,u,v,w
0.716667,0.283333,0.000000,0.996307,-0.027692,-0.022141,0.000000
0.750000,0.283333,0.000000,0.996691,-0.027475,-0.026469,0.000000
0.783333,0.283333,0.000000,0.996823,-0.026997,-0.030635,0.000000
0.816667,0.283333,0.000000,0.997350,-0.024951,-0.033339,0.000000
0.850000,0.283333,0.000000,0.997400,-0.021438,-0.033094,0.000000
0.883333,0.283333,0.000000,0.997962,-0.015036,-0.027988,0.000000
0.916667,0.283333,0.000000,0.997738,-0.007755,-0.016763,0.000000
0.950000,0.283333,0.000000,0.998118,-0.001907,-0.007557,0.000000
0.983333,0.283333,0.000000,0.997585,-0.000389,-0.002208,0.000000
0.016667,0.316667,0.000000,0.998230,-0.000355,0.004288,0.000000
0.050000,0.316667,0.000000,0.997708,-0.001746,0.012103,0.000000
0.083333,0.316667,0.000000,0.997984,-0.005833,0.017266,0.000000
0.116667,0.316667,0.000000,0.997698,-0.009244,0.021218,0.000000
0.150000,0.316667,0.000000,0.997656,-0.013203,0.025358,0.000000
0.183333,0.316667,0.000000,0.997366,-0.016445,0.027689,0.000000
0.216667,0.316667,0.000000,0.997134,-0.019356,0.028837,0.000000
0.250000,0.316667,0.000000,0.996814,-0.021347,0.027853,0.000000
0.283333,0.316667,0.000000,0.996519,-0.022740,0.025880,0.000000
0.316667,0.316667,0.000000,0.996237,-0.023454,0.022697,0.000000
0.350000,0.316667,0.000000,0.995988,-0.023797,0.019324,0.000000
0.383333,0.316667,0.000000,0.995790,-0.023847,0.015539,0.000000
0.416667,0.316667,0.000000,0.995625,-0.023783,0.011958,0.000000
0.450000,0.316667,0.000000,0.995514,-0.023672,0.008249,0.000000
0.483333,0.316667,0.000000,0.995439,-0.023548,0.004777,0.000000
0.516667,0.316667,0.000000,0.995403,-0.023462,0.001164,0.000000
0.550000,0.316667,0.000000,0.995418,-0.023354,-0.002282,0.000000
0.583333,0.316667,0.000000,0.995444,-0.023330,-0.005968,0.000000
0.616667,0.316667,0.000000,0.995554,-0.023263,-0.009543,0.000000
0.650000,0.316667,0.000000,0.995628,-0.023375,-0.013499,0.000000
0.683333,0.316667,0.000000,0.995851,-0.023431,-0.017419,0.000000
0.716667,0.316667,0.000000,0.995956,-0.023792,-0.021898,0.000000
